[Name];
velocity_inlet at area ave velocity inlet;
;
[Data];
Time [ s ];area ave velocity inlet [ m s^-1 ]
0.4000000060;1.0350046200
0.4099999960;1.0312937500
0.4199999870;1.0212274800
0.4300000070;1.0068739700
0.4399999980;0.9857730870
0.4499999880;0.9684774280
0.4600000080;0.9555596110
0.4699999990;0.9436443450
0.4799999890;0.9317236540
0.4900000100;0.9193617700
0.5000000000;0.9081983570
0.5099999900;0.8975169660
0.5199999810;0.8871598240
0.5299999710;0.8771304490
0.5400000210;0.8678660990
0.5500000120;0.8596823810
0.5600000020;0.8501990440
0.5699999930;0.8419162030
0.5799999830;0.8340917230
0.5899999740;0.8258685470
0.6000000240;0.8198415640
0.6100000140;0.8127599360
0.6200000050;0.8064076900
0.6299999950;0.7998767500
0.6399999860;0.7943388820
0.6499999760;0.7897526620
0.6600000260;0.7827082280
0.6700000170;0.7781319020
0.6800000070;0.7724890110
0.6899999980;0.7672215700
0.6999999880;0.7601730230
0.7099999790;0.7555878160
0.7200000290;0.7482325430
0.7300000190;0.7439101930
0.7400000100;0.7370808720
0.7500000000;0.7328110340
0.7599999900;0.7267407770
0.7699999810;0.7203475240
0.7799999710;0.7141212820
0.7900000210;0.7107962970
0.8000000120;0.7034085390
0.8100000020;0.6978356240
0.8199999930;0.6919939520
0.8299999830;0.6869387630
0.8399999740;0.6811332700
0.8500000240;0.6753822570
0.8600000140;0.6698063610
0.8700000050;0.6638656850
0.8799999950;0.6593489650
0.8899999860;0.6517725590
0.8999999760;0.6485538480
0.9100000260;0.6413089630
0.9200000170;0.6358212230
0.9300000070;0.6314030890
0.9399999980;0.6260665660
0.9499999880;0.6185666320
0.9599999790;0.6141249540
0.9700000290;0.6082545520
0.9800000190;0.6013839240
0.9900000100;0.5972013470
1.0000000000;0.5928465720
;
;
[Name];
velocity_o2 at area ave velocity o2;
;
[Data];
Time [ s ];area ave velocity o2 [ m s^-1 ]
0.0099999998;0.3520165380
0.0199999996;0.4036373200
0.0299999993;0.5070105790
0.0399999991;0.5288150910
0.0500000007;0.5645433070
0.0599999987;0.5554815530
0.0700000003;0.4948658350
0.0799999982;0.4313651320
0.0900000036;0.3807684180
0.1000000010;0.3457107540
0.1099999990;0.3229728040
0.1199999970;0.3093970120
0.1299999950;0.3005371990
0.1400000010;0.2941681440
0.1500000060;0.2886497080
0.1599999960;0.2837823630
0.1700000020;0.2784920330
0.1800000070;0.2733872830
0.1899999980;0.2684579190
0.2000000030;0.2633025650
0.2099999930;0.2568764390
0.2199999990;0.2508834900
0.2300000040;0.2443104090
0.2399999950;0.2377221580
0.2500000000;0.2322280260
0.2599999900;0.2264110150
0.2700000110;0.2197446080
0.2800000010;0.2117145060
0.2899999920;0.2040948720
0.3000000120;0.1897039410
0.3100000020;0.1864110680
0.3199999930;0.1857791540
0.3300000130;0.1899766770
0.3400000040;0.2017336040
0.3499999940;0.2149163480
0.3600000140;0.2246553150
0.3700000050;0.2337744090
0.3799999950;0.2394178060
0.3899999860;0.2409196350
0.4000000060;0.2418372630
0.4099999960;0.2400218550
0.4199999870;0.2353613380
0.4300000070;0.2302359190
0.4399999980;0.2231825590
0.4499999880;0.2181831150
0.4600000080;0.2147092370
0.4699999990;0.2134248910
0.4799999890;0.2130626740
0.4900000100;0.2110126170
0.5000000000;0.2096835370
0.5099999900;0.2071088700
0.5199999810;0.2050989870
0.5299999710;0.2031123640
0.5400000210;0.2006003710
0.5500000120;0.2005689290
0.5600000020;0.1987535800
0.5699999930;0.1977497940
0.5799999830;0.1975453940
0.5899999740;0.1956826000
0.6000000240;0.1944163140
0.6100000140;0.1924487200
0.6200000050;0.1916930530
0.6299999950;0.1897231790
0.6399999860;0.1888930350
0.6499999760;0.1883300990
0.6600000260;0.1861615630
0.6700000170;0.1831410970
0.6800000070;0.1816275860
0.6899999980;0.1823995860
0.6999999880;0.1808786840
0.7099999790;0.1814385800
0.7200000290;0.1782743040
0.7300000190;0.1786099370
0.7400000100;0.1761603800
0.7500000000;0.1753391920
0.7599999900;0.1745030580
0.7699999810;0.1728177960
0.7799999710;0.1706848440
0.7900000210;0.1715429720
0.8000000120;0.1694341000
0.8100000020;0.1678016330
0.8199999930;0.1663855760
0.8299999830;0.1649752710
0.8399999740;0.1626267280
0.8500000240;0.1615600290
0.8600000140;0.1605163960
0.8700000050;0.1585857720
0.8799999950;0.1590847820
0.8899999860;0.1561696080
0.8999999760;0.1578091230
0.9100000260;0.1560057400
0.9200000170;0.1539607050
0.9300000070;0.1527531740
0.9399999980;0.1517329510
0.9499999880;0.1494782870
0.9599999790;0.1485756190
0.9700000290;0.1471875460
0.9800000190;0.1453059610
0.9900000100;0.1445372250
1.0000000000;0.1435724790
