time;velo_in;velo_o1;velo_o2;press_in_[Pa];press_o1_[Pa];press_o2_[Pa];wall_shear_[Pa];max_turb_plane_1[J/s]
0.529999971;0.9088544850;0.8771304490;0.2031123640;16700.7070000000;14916.4502000000;14916.4502000000;;
0.540000021;0.8996467590;0.8678660990;0.2006003710;16583.4531000000;14820.8428000000;14820.8428000000;;
0.550000012;0.8908302780;0.8596823810;0.2005689290;16476.3320000000;14722.5654000000;14722.5654000000;;
0.560000002;0.8824049830;0.8501990440;0.1987535800;16311.7969000000;14621.8320000000;14621.8320000000;;
0.569999993;0.8743708730;0.8419162030;0.1977497940;16204.3643000000;14518.8574000000;14518.8574000000;;
0.579999983;0.8667280670;0.8340917230;0.1975453940;16041.3926000000;14413.8555000000;14413.8555000000;;
0.589999974;0.8594764470;0.8258685470;0.1956826000;15915.8330000000;14307.0400000000;14307.0400000000;;
0.600000024;0.8526160120;0.8198415640;0.1944163140;15774.1064000000;14198.6240000000;14198.6240000000;;
0.610000014;0.8461468220;0.8127599360;0.1924487200;15667.2314000000;14088.8223000000;14088.8223000000;;
0.620000005;0.8394880290;0.8064076900;0.1916930530;15556.2842000000;13977.8496000000;13977.8496000000;;
0.629999995;0.8337119820;0.7998767500;0.1897231790;15365.7471000000;13865.9180000000;13865.9180000000;;
0.639999986;0.8279359940;0.7943388820;0.1888930350;15296.4951000000;13753.2422000000;13753.2422000000;;
0.649999976;0.8221600060;0.7897526620;0.1883300990;15151.1689000000;13640.0371000000;13640.0371000000;;
0.660000026;0.8163840170;0.7827082280;0.1861615630;15022.0410000000;13526.5156000000;13526.5156000000;;
0.670000017;0.8106080290;0.7781319020;0.1831410970;14897.2354000000;13412.8926000000;13412.8926000000;;
0.680000007;0.8048319820;0.7724890110;0.1816275860;14688.8770000000;13299.3809000000;13299.3809000000;;
0.689999998;0.7990559940;0.7672215700;0.1823995860;14624.5000000000;13186.1953000000;13186.1953000000;;
0.699999988;0.7932800050;0.7601730230;0.1808786840;14441.9355000000;13073.5488000000;13073.5488000000;;
0.709999979;0.7875040170;0.7555878160;0.1814385800;14339.0361000000;12961.6563000000;12961.6563000000;;
0.720000029;0.7817279700;0.7482325430;0.1782743040;14185.0840000000;12850.7314000000;12850.7314000000;;
0.730000019;0.7759519820;0.7439101930;0.1786099370;14094.3311000000;12740.9883000000;12740.9883000000;;
0.740000010;0.7701759930;0.7370808720;0.1761603800;13918.6709000000;12632.6416000000;12632.6416000000;;
0.750000000;0.7644000050;0.7328110340;0.1753391920;13878.8047000000;12525.9033000000;12525.9033000000;;
0.759999990;0.7586240170;0.7267407770;0.1745030580;13723.2695000000;12420.9883000000;12420.9883000000;;
0.769999981;0.7528479700;0.7203475240;0.1728177960;13568.2803000000;12318.1113000000;12318.1113000000;;
0.779999971;0.7470719810;0.7141212820;0.1706848440;13483.2197000000;12217.4863000000;12217.4863000000;;
0.790000021;0.7412959930;0.7107962970;0.1715429720;13352.4834000000;12119.3262000000;12119.3262000000;;
0.800000012;0.7355200050;0.7034085390;0.1694341000;13228.7979000000;12023.8447000000;12023.8447000000;;
0.810000002;0.7297440170;0.6978356240;0.1678016330;13153.5459000000;11931.2568000000;11931.2568000000;;
0.819999993;0.7239680290;0.6919939520;0.1663855760;13016.2725000000;11841.7764000000;11841.7764000000;;
0.829999983;0.7181919810;0.6869387630;0.1649752710;12934.4141000000;11755.6172000000;11755.6172000000;;
0.839999974;0.7124160530;0.6811332700;0.1626267280;12842.1973000000;11672.9932000000;11672.9932000000;;
0.850000024;0.7066400050;0.6753822570;0.1615600290;12747.6377000000;11594.1182000000;11594.1182000000;;
0.860000014;0.7008640170;0.6698063610;0.1605163960;12644.4551000000;11519.2051000000;11519.2051000000;;
0.870000005;0.6950879690;0.6638656850;0.1585857720;12530.3682000000;11448.4707000000;11448.4707000000;;
0.879999995;0.6893119810;0.6593489650;0.1590847820;12485.1816000000;11382.1260000000;11382.1260000000;;
0.889999986;0.6835359930;0.6517725590;0.1561696080;12332.6172000000;11320.3867000000;11320.3867000000;;
0.899999976;0.6777600050;0.6485538480;0.1578091230;12303.6904000000;11263.4668000000;11263.4668000000;;
0.910000026;0.6719840170;0.6413089630;0.1560057400;12243.9648000000;11211.5791000000;11211.5791000000;;
0.920000017;0.6662080290;0.6358212230;0.1539607050;12180.0986000000;11164.9375000000;11164.9375000000;;
0.930000007;0.6604319810;0.6314030890;0.1527531740;12095.2441000000;11123.7578000000;11123.7578000000;;
0.939999998;0.6546559930;0.6260665660;0.1517329510;12058.9570000000;11088.2520000000;11088.2520000000;;
0.949999988;0.6488800050;0.6185666320;0.1494782870;12031.6084000000;11058.6357000000;11058.6357000000;;
0.959999979;0.6431040170;0.6141249540;0.1485756190;11962.2666000000;11035.1211000000;11035.1211000000;;
0.970000029;0.6373280290;0.6082545520;0.1471875460;11991.3633000000;11017.9229000000;11017.9229000000;;
0.980000019;0.6315520410;0.6013839240;0.1453059610;11971.8047000000;11007.2559000000;11007.2559000000;;
0.990000010;0.6257759930;0.5972013470;0.1445372250;11927.8633000000;11003.3330000000;11003.3330000000;;
1.000000000;0.6200000050;0.5928465720;0.1435724790;11892.6729000000;11006.3682000000;11006.3682000000;;
