[Name]
wall shear at area ave wall shear

[Data]
Time [ s ],area ave wall shear [ Pa ]
6.10000014e-01, 2.11712265e+02
6.20000005e-01, 2.09697052e+02
6.29999995e-01, 2.07960800e+02
6.39999986e-01, 2.06227325e+02
6.49999976e-01, 2.04493713e+02
6.60000026e-01, 2.02753250e+02
6.70000017e-01, 2.01016129e+02
6.80000007e-01, 1.99281586e+02
6.89999998e-01, 1.97548248e+02
6.99999988e-01, 1.95814087e+02
7.09999979e-01, 1.94081787e+02
7.20000029e-01, 1.92351379e+02
7.30000019e-01, 1.90625122e+02
7.40000010e-01, 1.88901245e+02
7.50000000e-01, 1.87179596e+02
7.59999990e-01, 1.85460388e+02
7.69999981e-01, 1.85595001e+02
7.79999971e-01, 1.82027893e+02
7.90000021e-01, 1.85312668e+02
8.00000012e-01, 1.99027695e+02
8.10000002e-01, 1.76898026e+02
8.19999993e-01, 1.75190811e+02
8.29999983e-01, 1.73486023e+02
8.39999974e-01, 1.94251266e+02
8.50000024e-01, 1.70083755e+02
8.60000014e-01, 1.68389114e+02
8.70000005e-01, 1.79556442e+02
8.79999995e-01, 2.24185501e+02
8.89999986e-01, 2.42052551e+02
8.99999976e-01, 2.36524292e+02
9.10000026e-01, 1.59925568e+02
9.20000017e-01, 1.58241364e+02
9.30000007e-01, 1.56559921e+02
9.39999998e-01, 1.95906006e+02
9.49999988e-01, 1.53207855e+02
9.59999979e-01, 2.38632248e+02
9.70000029e-01, 2.43342468e+02
9.80000019e-01, 1.89134506e+02
9.90000010e-01, 1.46544937e+02
1.00000000e+00, 1.76919693e+02


